,Date,AAPL,GOOG,MSFT
"2667-1",2015-03-25,123.38,558.77999999999997,41.460000000000001
"2668-1",2015-03-26,124.23999999999999,555.16999999999996,41.210000000000001
"2669-1",2015-03-27,123.25,548.34000000000003,40.969999999999999
"2670-1",2015-03-30,126.37,552.02999999999997,40.960000000000001
"2671-1",2015-03-31,124.43000000000001,548,40.659999999999997
"2672-1",2015-04-01,124.25,542.55999999999995,40.719999999999999
"2673-1",2015-04-02,125.31999999999999,535.52999999999997,40.289999999999999
"2674-1",2015-04-06,127.34999999999999,536.75999999999999,41.539999999999999
"2675-1",2015-04-07,126.01000000000001,537.01999999999998,41.530000000000001
"2676-1",2015-04-08,125.59999999999999,541.61000000000001,41.420000000000002
"2677-1",2015-04-09,126.56,540.77999999999997,41.479999999999997
"2678-1",2015-04-10,127.09999999999999,540.00999999999999,41.719999999999999
"2679-1",2015-04-13,126.84999999999999,539.16999999999996,41.759999999999998
"2680-1",2015-04-14,126.3,530.38999999999999,41.649999999999999
"2681-1",2015-04-15,126.78,532.52999999999997,42.259999999999998
"2682-1",2015-04-16,126.17,533.79999999999995,42.159999999999997
"2683-1",2015-04-17,124.75,524.04999999999995,41.619999999999997
"2684-1",2015-04-20,127.59999999999999,535.38,42.899999999999999
"2685-1",2015-04-21,126.91,533.97000000000003,42.640000000000001
"2686-1",2015-04-22,128.62,539.36000000000001,42.979999999999997
"2687-1",2015-04-23,129.66999999999999,547,43.340000000000003
"2688-1",2015-04-24,130.28,565.05999999999995,47.869999999999997
"2689-1",2015-04-27,132.65000000000001,555.37,48.030000000000001
"2690-1",2015-04-28,130.56,553.67999999999995,49.159999999999997
"2691-1",2015-04-29,128.63999999999999,549.08000000000004,49.060000000000002
"2692-1",2015-04-30,125.15000000000001,537.34000000000003,48.640000000000001
"2693-1",2015-05-01,128.94999999999999,537.89999999999998,48.659999999999997
"2694-1",2015-05-04,128.69999999999999,540.77999999999997,48.240000000000002
"2695-1",2015-05-05,125.8,530.79999999999995,47.600000000000001
"2696-1",2015-05-06,125.01000000000001,524.22000000000003,46.280000000000001
"2697-1",2015-05-07,125.26000000000001,530.70000000000005,46.700000000000003
"2698-1",2015-05-08,127.62,538.22000000000003,47.75
"2699-1",2015-05-11,126.31999999999999,535.70000000000005,47.369999999999997
"2700-1",2015-05-12,125.86,529.03999999999996,47.350000000000001
"2701-1",2015-05-13,126.01000000000001,529.62,47.619999999999997
"2702-1",2015-05-14,128.94999999999999,538.39999999999998,48.719999999999999
"2703-1",2015-05-15,128.77000000000001,533.85000000000002,48.299999999999997
"2704-1",2015-05-18,130.19,532.29999999999995,48.009999999999998
"2705-1",2015-05-19,130.06999999999999,537.36000000000001,47.579999999999998
"2706-1",2015-05-20,130.06,539.26999999999998,47.579999999999998
"2707-1",2015-05-21,131.38999999999999,542.50999999999999,47.420000000000002
"2708-1",2015-05-22,132.53999999999999,540.11000000000001,46.899999999999999
"2709-1",2015-05-26,129.62,532.32000000000005,46.590000000000003
"2710-1",2015-05-27,132.03999999999999,539.78999999999996,47.609999999999999
"2711-1",2015-05-28,131.78,539.77999999999997,47.450000000000003
"2712-1",2015-05-29,130.28,532.11000000000001,46.859999999999999
"2713-1",2015-06-01,130.53999999999999,533.99000000000001,47.229999999999997
"2714-1",2015-06-02,129.96000000000001,539.17999999999995,46.920000000000002
"2715-1",2015-06-03,130.12,540.30999999999995,46.850000000000001
